symbol,sector,price,pullback_pct,volume_ratio,high_volume_alert,volar_3m,rs_raw,has_gap,has_vol,rs_percentile,rank,rs_h,rs_up,rank_diff,rank_status,screener_section
KRN,Unknown,1539.7,0.0,9.65,True,16.89,2.2418802691401862,True,True,100,1,"[67, 87, 100, 100]",False,0,stable,BOTH
AZAD,Unknown,2899.9,0.0,4.69,True,14.66,0.7437257187491662,False,True,100,1,[100],False,0,new,VOL_ONLY
MOTILALOFS,Unknown,955.0,11.78,4.2,True,5.63,0.5233992402367114,False,True,90,2,"[61, 67, 90]",True,3,up,VOL_ONLY
BHEL,Unknown,435.95,0.0,1.81,False,3.4,0.446056235009785,False,True,80,3,[80],False,0,new,VOL_ONLY
PTCIL,Unknown,20584.0,0.0,17.55,True,11.37,0.3959370931027515,False,True,70,4,[70],False,0,new,VOL_ONLY
NMDC,Unknown,85.5,10.97,2.46,False,-1.93,0.25616644453335113,False,True,60,5,[60],False,0,new,VOL_ONLY
BALRAMCHIN,Unknown,655.75,2.35,1.78,False,8.97,0.24439589302347708,False,True,50,6,[50],False,0,new,VOL_ONLY
OBEROIRLTY,Unknown,1931.0,16.17,6.24,True,9.5,0.09322644068606878,False,True,40,7,[40],False,0,new,VOL_ONLY
UNOMINDA,Unknown,1269.9,6.84,1.69,False,9.84,0.07931034058134312,False,True,30,8,[30],False,0,new,VOL_ONLY
GNFC,Unknown,600.65,11.15,4.39,True,7.56,-0.042982099247552585,False,True,20,9,"[36, 20]",False,1,up,VOL_ONLY
MSTCLTD,Unknown,653.2,13.93,3.38,True,12.24,-0.14350586771416785,False,True,10,10,"[14, 10]",False,3,up,VOL_ONLY
TDPOWERSYS,Unknown,1548.8,0.0,1.44,False,6.16,2.6670182862822407,True,False,100,1,[100],False,0,new,GAP_ONLY
IBULLSLTD,Unknown,27.83,11.9,1.24,False,16.62,1.7729230585627498,True,False,93,2,"[78, 92, 93]",True,0,stable,GAP_ONLY
NATIONALUM,Unknown,387.55,11.78,1.15,False,-1.64,1.5189463795741478,True,False,86,3,[86],False,0,new,GAP_ONLY
MANORAMA,Unknown,1943.4,0.0,15.05,True,15.53,1.446120851879518,True,False,79,4,[79],False,0,new,GAP_ONLY
TI,Unknown,580.55,0.0,0.75,False,18.94,1.3844044666114703,True,False,71,5,[71],False,0,new,GAP_ONLY
ABDL,Unknown,610.65,13.1,0.99,False,6.33,0.9776719083437657,True,False,64,6,[64],False,0,new,GAP_ONLY
KRBL,Unknown,395.7,18.06,1.85,False,9.75,0.3536230240696454,True,False,57,7,[57],False,0,new,GAP_ONLY
LMW,Unknown,20047.0,0.0,3.38,True,20.07,0.332006978244181,True,False,50,8,"[19, 40, 50, 50]",False,-1,down,GAP_ONLY
ENRIN,Unknown,3605.7,6.88,0.37,False,0.29,0.2756003359863901,True,False,43,9,[43],False,0,new,GAP_ONLY
ELGIEQUIP,Unknown,624.2,14.65,2.51,True,6.26,0.025795647704210944,True,False,36,10,"[36, 36]",False,-2,down,GAP_ONLY
WELSPUNLIV,Unknown,168.15,17.85,2.1,False,5.76,-0.05104631259517112,True,False,29,11,[29],False,0,new,GAP_ONLY
POLYPLEX,Unknown,1210.8,16.82,1.35,False,10.26,-0.07069895722026542,True,False,21,12,[21],False,0,new,GAP_ONLY
FINCABLES,Unknown,1320.85,12.67,1.3,False,7.37,-0.10457539442842567,True,False,14,13,[14],False,0,new,GAP_ONLY
ETHOSLTD,Unknown,2788.6,18.99,0.1,False,7.33,-0.15873880571070387,True,False,7,14,[7],False,0,new,GAP_ONLY
