symbol,price,perf_1y,eps_rating,ad_rating,rs_line_up,rs_percentile,composite_rating,serial_no
AMD,539.69,2.3289539766596614,75,B,False,100,88,1
CHRW,205.51,1.023453382406132,75,B,False,94,85,2
APA,36.42,0.9528614900501526,75,B,False,92,84,3
ADM,86.35,0.6048656436358655,75,A,False,87,84,4
AAPL,321.66,0.5107415152113237,75,A,False,81,81,5
AMAT,562.8,2.013654060634782,75,D,False,98,81,6
CNC,63.74,1.3819133457881203,75,D,False,97,81,7
BG,122.3,0.6345198938007546,75,C,False,89,80,8
CAT,894.54,1.1013974601240566,75,D,False,95,80,9
ABBV,256.92,0.3880963359307379,75,A,False,74,78,10
ANET,176.61,0.5486671272580188,75,C,False,85,78,11
AKAM,117.37,0.4542188586043756,75,B,False,77,77,12
APH,157.43,0.5173567927548066,75,C,False,84,77,13
ADI,380.2,0.7020969573007547,75,D,False,90,77,14
CF,126.71,0.3842602501783654,75,A,False,73,77,15
BIIB,200.62,0.5130854563562255,75,C,False,82,76,16
AIZ,273.8,0.5048185626556552,75,C,False,79,75,17
BMY,61.51,0.31717187939199176,75,B,False,65,71,18
CRL,229.29,0.29469218172760514,75,A,False,61,71,19
AME,241.14,0.35020022299210973,75,C,False,69,70,20
ALL,254.52,0.3387792615270322,75,C,False,68,69,21
BAC,61.28,0.2939634846140611,75,B,False,60,68,22
AVGO,392.47,0.36935230127661467,75,D,False,71,68,23
CAH,225.98,0.4425711577817455,75,E,False,76,67,24
TECH,71.77,0.23489786370204824,75,A,False,52,66,25
AFL,124.34,0.23955566879755996,75,B,False,53,65,26
BBY,84.43,0.3247069361813759,75,D,False,66,65,27
MO,72.08,0.29121318417350306,75,C,False,58,64,28
CVX,194.42,0.2998962552628597,75,D,False,63,64,29
AMGN,371.5,0.24020896267171632,75,C,False,55,63,30
A,139.74,0.17043091547612277,75,B,False,47,62,31
CBOE,284.86,0.16368556888032626,75,A,False,44,62,32
AEP,134.92,0.2773484492419256,75,D,False,56,60,33
LNT,74.42,0.17702583829976182,75,C,False,48,59,34
ATO,178.04,0.15412472448901582,75,B,False,40,58,35
BDX,152.97,0.08561779569722461,75,A,False,34,58,36
CNP,44.23,0.19518038781777913,75,D,False,50,57,37
AEE,113.27,0.1645078618364908,75,D,False,45,55,38
ACGL,100.1,0.13749998266046703,75,C,False,39,55,39
SCHW,101.61,0.06631018979887204,75,B,False,31,54,40
AES,14.83,0.12988595552834536,75,D,False,37,51,41
AON,355.78,0.002403905473669976,75,A,False,21,51,42
BALL,62.23,0.0710602367856048,75,C,False,32,51,43
MMM,169.59,0.1571486890125091,75,E,False,42,50,44
CPT,112.84,0.03377434025798354,75,C,False,27,49,45
AMP,520.11,0.019252508306599525,75,C,False,26,48,46
BXP,67.84,0.0017220483701148037,75,B,False,19,48,47
AXP,340.84,0.11755313624255259,75,E,False,35,47,48
AVB,190.8,-0.01593352248241331,75,B,False,18,47,49
CZR,29.9,0.04326586802930965,75,D,False,29,47,50
ALLE,154.57,-0.048116897285255256,75,A,False,10,46,51
KMX,58.39,-0.0303886050142681,75,B,False,13,45,52
APD,294.29,0.016529295872340644,75,D,False,24,44,53
AIG,78.16,0.010044754324461946,75,D,False,23,44,54
AWK,134.41,-0.01822460890066202,75,C,False,16,43,55
ADP,242.88,-0.18485623662883066,75,A,False,5,43,56
AMCR,42.63,-0.10022733448604171,75,B,False,8,42,57
XYZ,76.49,-0.0411182012953234,75,C,False,11,41,58
ABNB,137.57,-0.028597570488669177,75,D,False,15,40,59
AJG,242.21,-0.2074778639159437,75,B,False,3,40,60
BAX,21.67,-0.24033144978389076,75,C,False,2,36,61
CARR,69.15,-0.11614361888862013,75,D,False,6,35,62
