symbol,sector,price,last_swing_low,sl_percent,retracement,rs,rs_trend,rs_change
CEMPRO,Industrials,1603.7,1116.5,30.38,2.65,1.94,🚀 Accelerating,24.4
BALAMINES,Basic Materials,2379.8,2057.1,13.56,2.61,1.72,🟢 Steady,3.0
THANGAMAYL,Consumer Cyclical,6393.0,5750.5,10.05,10.77,1.71,🚀 Accelerating,6.2
KIRLOSENG,Industrials,2386.4,2220.0,6.97,12.26,1.67,🚀 Accelerating,8.4
WELCORP,Basic Materials,1678.7,1408.5,16.1,1.18,1.67,🚀 Accelerating,11.3
GRWRHITECH,Basic Materials,6902.0,6659.0,3.52,3.94,1.62,⚠️ Fading,-4.1
ATHERENERG,Consumer Cyclical,1271.8,1158.0,8.95,5.44,1.61,🚀 Accelerating,22.0
SPARC,Healthcare,248.94,247.0,0.78,13.86,1.6,⚠️ Fading,-2.4
SKYGOLD,Consumer Cyclical,626.3,538.05,14.09,3.25,1.6,🚀 Accelerating,15.1
SHILPAMED,Healthcare,631.45,588.1,6.87,2.85,1.6,🚀 Accelerating,11.1
ACUTAAS,Basic Materials,3564.2,3363.6,5.63,4.7,1.6,🚀 Accelerating,3.9
NEOGEN,Basic Materials,2325.9,1920.0,17.45,2.03,1.59,🚀 Accelerating,16.9
ASTRAMICRO,Technology,1721.0,1610.0,6.45,8.02,1.55,⚠️ Fading,-3.1
PARAS,Industrials,1196.4,1193.9,0.21,17.09,1.53,⚠️ Fading,-20.7
HONASA,Consumer Defensive,479.7,460.5,4.0,2.37,1.49,🚀 Accelerating,12.9
AETHER,Basic Materials,1500.0,1305.0,13.0,2.5,1.48,🚀 Accelerating,21.3
WABAG,Industrials,2097.5,2035.0,2.98,6.92,1.47,🚀 Accelerating,10.5
RAIN,Basic Materials,211.65,179.77,15.06,3.31,1.47,🚀 Accelerating,6.5
RATEGAIN,Technology,971.8,910.45,6.31,1.44,1.47,🚀 Accelerating,4.3
ACMESOLAR,Utilities,394.1,361.5,8.27,1.14,1.45,🚀 Accelerating,16.0
SCHNEIDER,Industrials,1354.0,1320.0,2.51,12.53,1.42,⚠️ Fading,-1.4
OFSS,Technology,11721.0,10780.0,8.03,1.98,1.42,🚀 Accelerating,18.3
GRANULES,Healthcare,902.65,758.5,15.97,0.81,1.42,🚀 Accelerating,10.1
MARKSANS,Healthcare,276.55,257.5,6.89,1.79,1.42,🟢 Steady,1.4
GREAVESCOT,Industrials,258.12,216.8,16.01,5.07,1.41,🚀 Accelerating,29.4
AKUMS,Healthcare,683.85,620.0,9.34,4.32,1.39,🚀 Accelerating,10.3
QUESS,Industrials,294.8,286.0,2.99,4.32,1.38,🚀 Accelerating,16.9
CGCL,Financial Services,254.84,215.25,15.54,3.66,1.35,🚀 Accelerating,13.4
SHRIPISTON,Consumer Cyclical,4159.8,4088.0,1.73,5.92,1.32,🚀 Accelerating,3.9
NUVAMA,Financial Services,1864.1,1835.0,1.56,6.5,1.31,🚀 Accelerating,4.0
GODREJIND,Industrials,1359.0,1135.0,16.48,5.82,1.31,🚀 Accelerating,22.4
ADANIENT,Energy,3156.0,3026.8,4.09,2.74,1.31,🟢 Steady,1.6
INNOVACAP,Healthcare,1016.45,942.0,7.32,1.68,1.31,🚀 Accelerating,7.4
RADICO,Consumer Defensive,4136.0,4011.3,3.01,0.62,1.3,🚀 Accelerating,6.6
VIJAYA,Healthcare,1386.7,1303.2,6.02,2.88,1.29,🚀 Accelerating,4.0
LLOYDSME,Basic Materials,1830.4,1708.9,6.64,3.02,1.29,🟢 Steady,1.6
ANANDRATHI,Financial Services,2081.5,1945.1,6.55,4.35,1.28,🚀 Accelerating,8.5
ZYDUSWELL,Consumer Defensive,595.5,553.0,7.14,1.89,1.28,🚀 Accelerating,16.4
SFL,Consumer Cyclical,765.9,732.71,4.33,7.61,1.27,🚀 Accelerating,8.5
BHARATFORG,Consumer Cyclical,2104.2,2083.0,1.01,5.69,1.27,⚠️ Fading,-2.3
JBCHEPHARM,Healthcare,2476.0,2386.8,3.6,1.96,1.27,🚀 Accelerating,9.5
IPCALAB,Healthcare,1890.3,1741.0,7.9,0.51,1.27,🚀 Accelerating,19.8
WELSPUNLIV,Consumer Cyclical,165.46,161.7,2.27,5.44,1.24,⚠️ Fading,-0.8
TRIVENI,Consumer Defensive,470.15,446.7,4.99,4.07,1.24,🚀 Accelerating,12.7
NYKAA,Consumer Cyclical,326.9,305.6,6.52,1.58,1.24,🚀 Accelerating,6.9
ANGELONE,Financial Services,341.25,332.2,2.65,5.33,1.24,⚠️ Fading,-7.5
GVT&D,Industrials,4615.0,4391.0,4.85,18.32,1.24,⚠️ Fading,-20.5
BALRAMCHIN,Consumer Defensive,595.5,555.2,6.77,4.43,1.23,🚀 Accelerating,6.0
OPTIEMUS,Technology,582.95,535.1,8.21,18.24,1.23,🚀 Accelerating,35.2
NEULANDLAB,Healthcare,18958.0,18629.0,1.74,5.63,1.22,🚀 Accelerating,7.0
BELRISE,Consumer Cyclical,230.29,219.81,4.55,8.62,1.22,⚠️ Fading,-8.3
ALIVUS,Healthcare,1185.0,1116.1,5.81,0.75,1.22,🚀 Accelerating,9.9
ZENTEC,Industrials,1805.3,1785.0,1.12,10.81,1.21,⚠️ Fading,-8.3
PHOENIXLTD,Real Estate,2111.6,2013.4,4.65,2.68,1.21,🚀 Accelerating,12.0
AJANTPHARM,Healthcare,3407.5,3254.8,4.48,2.83,1.21,🚀 Accelerating,8.0
ZYDUSLIFE,Healthcare,1162.0,1095.1,5.76,1.65,1.21,🚀 Accelerating,7.1
STARHEALTH,Financial Services,589.0,572.3,2.84,5.59,1.2,🟢 Steady,1.7
FEDERALBNK,Financial Services,327.95,323.0,1.51,2.54,1.2,⚠️ Fading,-3.2
ASTERDM,Healthcare,809.45,771.45,4.69,3.23,1.2,🟢 Steady,0.8
TVSSCS,Industrials,139.91,137.63,1.63,4.5,1.2,⚠️ Fading,-0.8
POLYPLEX,Basic Materials,1069.05,950.2,11.12,8.78,1.2,🚀 Accelerating,15.4
AARTIIND,Basic Materials,502.7,462.05,8.09,3.9,1.2,🟢 Steady,1.7
KSL,Basic Materials,918.15,852.0,7.2,6.55,1.19,🚀 Accelerating,12.3
SKIPPER,Industrials,542.3,526.05,3.0,8.55,1.19,⚠️ Fading,-0.8
PNBHOUSING,Financial Services,1108.1,1051.6,5.1,2.17,1.19,🚀 Accelerating,7.2
CARTRADE,Consumer Cyclical,2800.2,2692.0,3.86,14.9,1.19,🚀 Accelerating,8.2
ADANIPORTS,Industrials,1848.1,1783.2,3.51,2.27,1.19,⚠️ Fading,-2.5
SUMICHEM,Basic Materials,540.0,463.65,14.14,18.8,1.19,🚀 Accelerating,21.4
EQUITASBNK,Financial Services,77.0,75.4,2.08,7.75,1.18,⚠️ Fading,-4.1
TIPSMUSIC,Communication Services,673.35,659.5,2.06,7.35,1.18,🚀 Accelerating,3.5
BLUEJET,Healthcare,586.75,548.3,6.55,42.81,1.18,🚀 Accelerating,18.0
MINDACORP,Consumer Cyclical,681.5,679.5,0.29,4.51,1.18,🟢 Steady,1.7
CCL,Consumer Defensive,1213.0,1167.0,3.79,2.35,1.18,🚀 Accelerating,3.5
UJJIVANSFB,Financial Services,65.9,58.84,10.71,3.09,1.18,🚀 Accelerating,12.4
INDIAGLYCO,Basic Materials,1146.15,1031.0,10.05,5.4,1.18,🚀 Accelerating,16.8
AEGISVOPAK,Energy,269.72,230.24,14.64,13.41,1.17,🚀 Accelerating,12.5
LODHA,Real Estate,1184.9,931.0,21.43,18.66,1.17,🚀 Accelerating,30.0
EXIDEIND,Consumer Cyclical,421.2,416.0,1.23,2.27,1.17,🚀 Accelerating,11.4
ALKYLAMINE,Basic Materials,1913.8,1765.0,7.78,19.81,1.17,🚀 Accelerating,9.3
METROPOLIS,Healthcare,575.3,551.15,4.2,3.93,1.17,🚀 Accelerating,3.5
IONEXCHANG,Industrials,437.25,392.15,10.31,24.44,1.16,🚀 Accelerating,18.4
IKS,Healthcare,1855.0,1809.9,2.43,4.04,1.16,🚀 Accelerating,9.4
INDUSINDBK,Financial Services,1012.35,908.1,10.3,2.47,1.16,🚀 Accelerating,4.5
NAZARA,Communication Services,309.45,293.5,5.15,14.81,1.16,🚀 Accelerating,3.6
APOLLOHOSP,Healthcare,8902.5,8700.0,2.27,0.53,1.16,🚀 Accelerating,4.5
PAYTM,Technology,1374.9,1196.3,12.99,1.61,1.16,🚀 Accelerating,26.1
SHAREINDIA,Financial Services,173.49,136.81,21.14,17.37,1.15,🚀 Accelerating,23.7
KIMS,Healthcare,803.75,790.0,1.71,6.32,1.15,🟢 Steady,0.9
EMIL,Consumer Cyclical,131.04,128.51,1.93,22.23,1.15,🚀 Accelerating,12.7
MANORAMA,Consumer Defensive,1605.4,1501.1,6.5,8.75,1.15,🚀 Accelerating,3.6
KAJARIACER,Industrials,1237.7,1189.0,3.93,5.45,1.15,🚀 Accelerating,5.5
