symbol,sector,price,swing_low,last_swing_high,sl_percent,retracement,rs,rs_trend,rs_change
AWFIS,Industrials,296.5,298.9,306.05,3.22,55.49,0.72,🟢 Bouncing,2.9
INOXWIND,Industrials,79.3,81.89,88.39,11.46,55.4,0.72,⚠️ Collapsing,-8.9
GUJGASLTD,,289.7,285.0,300.8,3.83,39.45,0.74,⚠️ Collapsing,-26.0
CELLO,Consumer Cyclical,364.3,360.0,369.8,1.51,45.93,0.75,🔴 Fading,-2.6
SKFINDIA,Industrials,1543.2,1552.4,1584.9,2.7,68.84,0.79,🟢 Bouncing,9.7
JKLAKSHMI,Basic Materials,560.5,560.25,567.4,1.23,45.11,0.79,🔴 Fading,-2.5
FIRSTCRY,Consumer Cyclical,214.99,205.05,219.94,2.3,50.99,0.8,🟢 Bouncing,3.9
BATAINDIA,Consumer Cyclical,688.8,670.15,698.0,1.34,46.29,0.81,🟢 Bouncing,8.0
BLS,Industrials,236.7,233.7,240.6,1.65,42.38,0.82,⚠️ Collapsing,-7.9
CMSINFO,Industrials,263.85,259.3,273.35,3.6,50.82,0.82,⚠️ Collapsing,-6.8
IRCTC,Consumer Cyclical,497.8,498.55,501.4,0.72,35.43,0.82,🔴 Fading,-2.4
JISLJALEQS,Industrials,31.31,31.87,32.46,3.67,46.93,0.82,🟢 Bouncing,1.2
AFCONS,Industrials,293.35,299.95,300.1,2.3,38.81,0.83,⚠️ Collapsing,-4.6
HDFCLIFE,Financial Services,563.2,554.0,572.0,1.56,30.65,0.83,🔴 Fading,0.0
GODFRYPHLP,Consumer Defensive,2068.6,2080.1,2096.0,1.32,47.29,0.84,⚠️ Collapsing,-3.4
HERITGFOOD,Consumer Defensive,334.05,325.1,337.0,0.88,38.14,0.85,🟢 Bouncing,4.9
ITC,Consumer Defensive,279.35,281.0,287.85,3.04,31.39,0.85,🔴 Fading,-1.2
ABFRL,Consumer Cyclical,59.7,58.13,60.3,1.01,37.12,0.86,🟢 Bouncing,2.4
AWL,Consumer Defensive,187.95,181.05,191.5,1.89,33.94,0.87,🟢 Bouncing,1.2
BALUFORGE,Industrials,456.15,440.1,464.8,1.9,35.07,0.87,🟢 Bouncing,4.8
JWL,Industrials,255.6,247.0,258.55,1.15,32.0,0.87,⚠️ Collapsing,-6.5
BBTC,Consumer Defensive,1502.6,1516.0,1521.3,1.24,28.94,0.89,🔴 Fading,0.0
CAMPUS,Consumer Cyclical,226.89,226.3,231.5,2.03,25.38,0.89,🔴 Fading,-1.1
CLEAN,Basic Materials,756.0,764.5,766.5,1.39,48.96,0.89,🔴 Fading,0.0
COCHINSHIP,Industrials,1394.4,1402.1,1422.4,2.01,29.24,0.89,⚠️ Collapsing,-5.3
COHANCE,Healthcare,439.0,425.1,454.2,3.46,60.84,0.89,🟢 Bouncing,12.7
BAYERCROP,Basic Materials,4073.5,4113.3,4178.4,2.58,35.78,0.9,🔴 Fading,-1.1
DBL,Industrials,412.2,416.8,423.9,2.84,29.54,0.9,⚠️ Collapsing,-4.3
GRINFRA,Industrials,893.7,878.0,904.2,1.17,33.38,0.9,🟢 Bouncing,4.7
IOC,Energy,137.55,137.33,140.17,1.9,26.29,0.9,⚠️ Collapsing,-6.2
JAIBALAJI,Basic Materials,66.3,65.8,66.6,0.45,48.08,0.9,🟢 Bouncing,1.1
ASTRAL,Industrials,1370.2,1312.9,1388.0,1.3,22.53,0.91,⚠️ Collapsing,-12.5
BANKBARODA,Financial Services,248.05,240.15,252.7,1.87,21.33,0.91,⚠️ Collapsing,-13.3
BDL,Industrials,1268.5,1321.9,1336.6,5.37,31.21,0.91,🔴 Fading,-2.2
GMRP&UI,Energy,99.59,97.99,100.55,0.96,27.28,0.91,⚠️ Collapsing,-4.2
GODIGIT,Financial Services,300.2,301.1,311.85,3.88,21.29,0.91,🟢 Bouncing,3.4
IEX,Financial Services,117.23,116.9,118.99,1.5,42.61,0.91,⚠️ Collapsing,-4.2
BPCL,Energy,304.4,299.75,305.4,0.33,22.28,0.92,⚠️ Collapsing,-3.2
EASEMYTRIP,Consumer Cyclical,6.96,6.85,7.04,1.15,37.35,0.92,⚠️ Collapsing,-14.8
HEROMOTOCO,Consumer Cyclical,4927.5,4888.1,4958.0,0.62,21.37,0.92,🔴 Fading,-1.1
IREDA,Financial Services,121.98,121.17,125.4,2.8,24.93,0.92,🔴 Fading,-2.1
JKTYRE,Consumer Cyclical,403.55,397.05,409.1,1.38,34.05,0.92,🟢 Bouncing,3.4
BRITANNIA,Consumer Defensive,5314.5,5326.0,5347.5,0.62,16.12,0.93,🟢 Bouncing,3.3
CHOLAHLDNG,Financial Services,1589.5,1641.7,1640.0,3.18,26.67,0.93,🟢 Bouncing,2.2
FINPIPE,Industrials,166.45,165.02,171.1,2.79,25.19,0.93,🔴 Fading,-2.1
GPPL,Industrials,152.68,150.89,155.5,1.85,23.69,0.93,🔴 Fading,-1.1
INDIACEM,Basic Materials,375.9,371.2,381.65,1.53,22.62,0.93,⚠️ Collapsing,-4.1
JINDALSTEL,Basic Materials,1043.9,1022.6,1047.2,0.32,20.08,0.93,⚠️ Collapsing,-8.8
ASHOKLEY,Industrials,154.35,153.85,156.9,1.65,27.13,0.94,⚠️ Collapsing,-5.1
BIKAJI,Consumer Defensive,643.1,638.15,648.4,0.82,21.45,0.94,⚠️ Collapsing,-3.1
BIRLACORPN,Basic Materials,976.85,945.0,986.8,1.02,35.87,0.94,🔴 Fading,0.0
ICICIGI,Financial Services,1757.2,1754.0,1812.8,3.16,14.58,0.94,🔴 Fading,-2.1
IRB,Industrials,20.15,20.09,20.44,1.44,17.15,0.95,⚠️ Collapsing,-5.9
CESC,Utilities,160.44,163.67,162.8,1.47,21.55,0.96,⚠️ Collapsing,-7.7
GPIL,Basic Materials,254.15,246.6,258.0,1.51,20.58,0.96,⚠️ Collapsing,-8.6
AHLUCONT,Industrials,841.05,824.0,850.95,1.18,25.19,0.97,🟢 Bouncing,2.1
ATUL,Basic Materials,6099.5,6170.5,6595.0,8.12,20.53,0.97,⚠️ Collapsing,-7.6
AIIL,Financial Services,512.2,500.0,526.3,2.75,25.01,0.97,⚠️ Collapsing,-4.9
DMART,Consumer Defensive,3936.7,3917.0,4012.8,1.93,20.46,0.97,⚠️ Collapsing,-6.7
BERGEPAINT,Basic Materials,490.6,495.5,491.25,0.13,17.48,0.97,⚠️ Collapsing,-4.0
BEL,Industrials,406.6,408.2,412.9,1.55,14.12,0.97,⚠️ Collapsing,-4.0
DBREALTY,Real Estate,117.4,108.4,117.3,-0.09,53.0,0.97,🟢 Bouncing,6.6
GULFOILLUB,Basic Materials,1035.4,1030.8,1046.9,1.11,18.9,0.97,🟢 Bouncing,6.6
ITI,Technology,287.55,286.0,292.15,1.6,22.88,0.97,⚠️ Collapsing,-4.0
JPPOWER,Utilities,16.85,16.75,18.14,7.66,39.17,0.97,⚠️ Collapsing,-5.8
AARTIPHARM,Healthcare,716.35,687.2,708.0,-1.17,25.87,0.98,🟢 Bouncing,14.0
FACT,Basic Materials,845.4,843.7,855.85,1.24,20.14,0.98,⚠️ Collapsing,-14.8
DRREDDY,Healthcare,1245.5,1226.3,1340.5,7.63,11.41,0.99,🔴 Fading,-1.0
ERIS,Healthcare,1440.1,1404.2,1436.8,-0.23,23.19,0.99,🟢 Bouncing,6.5
GMDCLTD,Energy,589.55,585.8,596.1,1.11,23.62,0.99,⚠️ Collapsing,-6.6
HUDCO,Financial Services,206.31,205.55,209.0,1.3,14.98,0.99,⚠️ Collapsing,-3.9
IMAGICAA,Communication Services,47.22,45.31,49.01,3.79,31.57,0.99,🟢 Bouncing,10.0
ISGEC,Industrials,888.5,895.0,907.0,2.08,26.87,0.99,🔴 Fading,-2.0
BBL,Industrials,2750.0,2635.1,2907.3,5.72,19.38,1.0,🔴 Fading,-1.0
EIHOTEL,Consumer Cyclical,340.45,320.4,332.9,-2.22,21.7,1.0,🟢 Bouncing,13.6
HEMIPROP,Real Estate,137.8,135.95,139.48,1.22,27.74,1.0,🔴 Fading,-1.0
AGI,Consumer Cyclical,682.7,683.15,695.95,1.94,31.83,1.01,🔴 Fading,-1.0
CHALET,Consumer Cyclical,850.0,797.25,818.0,-3.76,21.35,1.01,🟢 Bouncing,14.8
FIEMIND,Consumer Cyclical,2216.7,2199.5,2241.0,1.1,13.25,1.01,⚠️ Collapsing,-4.7
AAVAS,Financial Services,1461.1,1493.8,1495.1,2.33,27.45,1.02,🟢 Bouncing,5.2
APLLTD,Healthcare,818.2,809.35,828.0,1.2,20.82,1.02,🟢 Bouncing,12.1
AXISBANK,Financial Services,1301.7,1303.9,1321.8,1.54,8.15,1.02,⚠️ Collapsing,-6.4
GRSE,Industrials,2619.3,2607.3,2639.0,0.75,21.55,1.02,🔴 Fading,-1.9
INDIGO,Industrials,5095.0,5105.0,5248.0,3.0,18.25,1.02,🟢 Bouncing,5.2
CIPLA,Healthcare,1446.0,1435.0,1471.9,1.79,12.76,1.03,🟢 Bouncing,6.2
FORTIS,Healthcare,961.05,944.25,968.35,0.76,12.97,1.03,🔴 Fading,-1.0
GNFC,Basic Materials,497.4,497.7,502.25,0.98,19.25,1.03,⚠️ Collapsing,-7.2
JINDWORLD,Consumer Cyclical,29.93,28.21,30.4,1.57,31.92,1.03,🟢 Bouncing,1.0
ACE,Industrials,970.0,966.6,989.0,1.96,18.93,1.04,🟢 Bouncing,2.0
ASIANPAINT,Basic Materials,2644.9,2656.0,2664.4,0.74,10.65,1.04,🔴 Fading,-2.8
BAJFINANCE,Financial Services,1000.3,1004.2,1022.0,2.17,8.71,1.04,🟢 Bouncing,5.1
CAMS,Technology,770.05,743.15,780.55,1.36,8.71,1.04,🔴 Fading,-2.8
IIFLCAPS,Financial Services,337.7,337.0,338.0,0.09,17.13,1.05,🔴 Fading,-2.8
INGERRAND,Industrials,4392.0,4315.53,4455.89,1.45,7.24,,🟢 Bouncing,
VEDL,Basic Materials,266.75,270.8,271.25,1.69,66.45,0.51,⚠️ Collapsing,-10.5
RVNL,Industrials,227.7,223.99,231.87,1.83,43.0,0.76,⚠️ Collapsing,-3.8
KEC,Industrials,490.1,485.0,494.65,0.93,47.74,0.77,🔴 Fading,-2.5
RAYMONDLSL,Consumer Cyclical,733.55,735.7,748.75,2.07,45.59,0.78,⚠️ Collapsing,-6.0
RPOWER,Utilities,24.62,24.52,25.25,2.56,63.17,0.78,🔴 Fading,-2.5
MANYAVAR,Consumer Cyclical,392.55,386.75,398.9,1.62,51.87,0.78,🟢 Bouncing,1.3
PGHH,Consumer Defensive,8917.0,8870.5,8950.0,0.37,37.53,0.79,🟢 Bouncing,1.3
PATANJALI,Consumer Defensive,407.3,408.65,412.15,1.19,37.23,0.8,🔴 Fading,0.0
SYNGENE,Healthcare,425.9,409.0,423.85,-0.48,41.38,0.82,🔴 Fading,-1.2
NETWORK18,Communication Services,32.2,31.0,33.19,3.07,50.68,0.83,🔴 Fading,0.0
SBICARD,Financial Services,623.0,589.6,601.0,-3.53,37.78,0.83,🟢 Bouncing,2.5
WHIRLPOOL,Consumer Cyclical,785.0,781.65,797.05,1.54,46.53,0.83,🟢 Bouncing,5.1
PRSMJOHNSN,Basic Materials,111.4,111.0,112.8,1.26,36.7,0.84,⚠️ Collapsing,-5.6
SAPPHIRE,Consumer Cyclical,181.0,181.08,188.48,4.13,50.82,0.84,🟢 Bouncing,5.0
THOMASCOOK,Consumer Cyclical,103.18,102.14,106.29,3.01,45.06,0.84,🟢 Bouncing,1.2
KITEX,Consumer Cyclical,150.41,152.1,154.98,3.04,47.78,0.85,🔴 Fading,-1.2
OSWALPUMPS,Industrials,402.75,404.35,413.8,2.74,54.67,0.85,🟢 Bouncing,2.4
KNRCON,Industrials,126.2,126.25,128.49,1.81,44.58,0.86,🟢 Bouncing,1.2
LEMONTREE,Consumer Cyclical,115.6,116.61,119.0,2.94,36.02,0.86,🟢 Bouncing,10.3
NCC,Industrials,142.28,143.42,143.9,1.14,38.06,0.87,⚠️ Collapsing,-3.3
NEWGEN,Technology,559.8,477.05,480.8,-14.11,49.32,0.87,🟢 Bouncing,24.3
SANOFI,Healthcare,3349.8,3343.0,3375.0,0.75,42.93,0.87,🟢 Bouncing,6.1
TRANSRAILL,Industrials,498.35,488.0,510.8,2.5,41.71,0.87,🟢 Bouncing,4.8
MANINFRA,Industrials,103.44,100.3,104.9,1.41,44.19,0.88,⚠️ Collapsing,-4.3
SUNTV,Communication Services,492.8,493.55,500.05,1.47,25.41,0.88,⚠️ Collapsing,-5.4
SHAKTIPUMP,Industrials,558.05,566.0,578.95,3.75,40.94,0.89,🟢 Bouncing,6.0
TMPV,Consumer Cyclical,336.0,333.65,340.75,1.41,54.2,0.89,🟢 Bouncing,2.3
