symbol,sector,price,rs_raw,roc_3m,roc_6m,rs_percentile,rs_h,rs_up,rank,rank_diff,rank_status
ATHERENERG,Automobile and Auto Components,1202.0,2.574950764843196,28.58,94.15,100,"[100, 100, 100, 100, 100]",False,1,0,stable
CPPLUS,Capital Goods,3431.2,2.198881177340586,47.61,148.66,100,"[100, 100, 100, 100, 100]",False,2,0,stable
HFCL,Telecommunication,188.39,1.4982017336791305,62.36,209.09,99,"[99, 99, 99, 99, 99]",False,3,2,up
ACUTAAS,Healthcare,3297.7,1.9034172234338789,27.12,90.84,99,"[99, 99, 99, 99, 99]",False,4,0,stable
PFOCUS,Media Entertainment & Publication,289.23,1.1015151546602209,-6.68,33.83,98,"[92, 92, 97, 97, 98]",False,5,3,up
NETWEB,Information Technology,4395.7,1.436404116471733,8.14,44.89,98,"[98, 98, 98, 98, 98]",False,6,1,up
KIRLOSENG,Capital Goods,2192.2,1.4717302805486911,29.09,100.01,98,"[99, 98, 98, 99, 98]",False,7,-4,down
LAURUSLABS,Healthcare,1758.9,1.0097437070686723,59.92,76.03,97,"[97, 97, 97, 97, 97]",False,8,1,up
WELCORP,Capital Goods,1643.1,0.938443427464867,30.14,128.38,97,"[94, 93, 94, 95, 97]",False,9,5,up
ADANIENSOL,Power,1649.5,1.0497516614671631,22.89,94.26,97,"[98, 98, 98, 98, 97]",False,10,-4,down
CEMPRO,Construction,1340.8,0.884338567887343,64.89,116.25,96,"[98, 97, 96, 96, 96]",False,11,1,up
RRKABEL,Capital Goods,2576.9,0.9198337185181655,64.44,94.15,96,"[91, 92, 92, 95, 96]",False,12,3,up
ADANIPOWER,Power,208.25,0.852855404287574,-6.13,54.83,95,"[96, 95, 96, 96, 95]",False,13,-2,down
BHARATFORG,Automobile and Auto Components,2162.7,0.8554784027768567,15.29,53.1,95,"[95, 95, 93, 94, 95]",False,14,2,up
GRANULES,Healthcare,845.4,0.858890924868982,20.82,45.99,95,"[94, 93, 93, 93, 95]",False,15,4,up
IDEA,Telecommunication,12.95,0.8444509713810506,26.71,31.74,94,"[94, 96, 94, 94, 94]",False,16,2,up
MCX,Financial Services,2713.4,0.7896529098782192,-8.69,12.22,94,"[93, 92, 91, 93, 94]",False,17,4,up
BELRISE,Automobile and Auto Components,229.03,0.8506444605901353,7.67,44.82,94,"[96, 96, 92, 94, 94]",False,18,-1,down
FEDERALBNK,Financial Services,357.25,0.772903291172947,24.5,25.37,93,"[92, 90, 92, 91, 93]",False,19,6,up
SYRMA,Capital Goods,1306.0,0.7812700982903882,36.19,98.75,93,"[97, 97, 96, 92, 93]",False,20,3,up
BHEL,Capital Goods,405.75,0.7511563336645786,15.51,64.34,92,"[90, 90, 91, 92, 92]",False,21,1,up
J&KBANK,Financial Services,177.3,0.7555121286717197,37.42,70.99,92,"[92, 89, 88, 90, 92]",False,22,5,up
