symbol,sector,price,rs_raw,roc_3m,roc_6m,rs_percentile,rs_h,rs_up,rank,rank_status,rank_diff
GVT&D,Capital Goods,4625.5,1.840166319360566,31.77,47.0,100,[100],False,1,new,0
ATHERENERG,Automobile and Auto Components,915.05,2.015046255135397,31.46,37.16,100,[100],False,2,new,0
NATIONALUM,Metals & Mining,401.95,1.7298507316798721,9.1,77.99,99,[99],False,3,new,0
NETWEB,Information Technology,4422.2,1.7164889882032321,37.22,21.81,99,[99],False,4,new,0
HINDCOPPER,Metals & Mining,569.2,1.8050034191449345,-7.09,71.51,99,[99],False,5,new,0
MCX,Financial Services,3097.8,1.5934402014588431,21.8,66.09,98,[98],False,6,new,0
KIRLOSENG,Capital Goods,1728.9,1.5080138694189338,40.89,69.97,98,[98],False,7,new,0
ACUTAAS,Healthcare,2734.3,1.4380683206678762,38.82,58.26,98,[98],False,8,new,0
POWERINDIA,Capital Goods,34005.0,1.3231652244127723,78.57,66.23,97,[97],False,9,new,0
GMDCLTD,Metals & Mining,684.7,1.3280727810121173,11.41,16.43,97,[97],False,10,new,0
SCHNEIDER,Capital Goods,1344.6,1.4193272478512426,78.53,51.09,97,[97],False,11,new,0
SCI,Services,339.05,1.1983644873313848,51.98,38.93,96,[96],False,12,new,0
SYRMA,Capital Goods,1100.15,1.3096112207726058,29.4,40.29,96,[96],False,13,new,0
BELRISE,Automobile and Auto Components,222.39,1.2957621747705255,20.5,53.09,96,[96],False,14,new,0
FORCEMOT,Automobile and Auto Components,20877.0,1.1578228675495321,4.03,14.21,95,[95],False,15,new,0
ADANIPOWER,Power,225.33,1.1698244851862425,45.1,42.26,95,[95],False,16,new,0
ANANDRATHI,Financial Services,3608.8,1.16206004161412,22.26,16.85,95,[95],False,17,new,0
GALLANTT,Capital Goods,869.25,1.0440407226567032,48.37,55.78,94,[94],False,18,new,0
APARINDS,Capital Goods,12810.0,1.1406241056676696,35.18,53.62,94,[94],False,19,new,0
LAURUSLABS,Healthcare,1228.3,1.1040954084784582,25.42,25.06,94,[94],False,20,new,0
CUMMINSIND,Capital Goods,5401.0,0.9806856925918992,29.11,25.68,93,[93],False,21,new,0
GABRIEL,Automobile and Auto Components,1131.9,0.9945174674002331,16.82,-10.4,93,[93],False,22,new,0
LTF,Financial Services,303.4,0.8890830216503247,5.68,8.36,92,[92],False,23,new,0
CRAFTSMAN,Automobile and Auto Components,8981.5,0.9679453844316102,16.45,34.45,92,[92],False,24,new,0
GESHIP,Services,1588.3,0.8935149186159903,28.21,52.84,92,[92],False,25,new,0
ABDL,Fast Moving Consumer Goods,591.3,0.8783752043650732,16.1,-13.53,91,[91],False,26,new,0
HFCL,Telecommunication,141.15,0.8784741883372063,105.01,83.38,91,[91],False,27,new,0
DATAPATTNS,Capital Goods,4103.4,0.8728470194429196,56.7,51.95,91,[91],False,28,new,0
BHEL,Capital Goods,404.6,0.870994355783008,48.37,51.39,90,[90],False,29,new,0
HBLENGINE,Capital Goods,848.15,0.8211768591887783,7.23,-15.32,90,[90],False,30,new,0
