symbol,sector,price,rs_raw,roc_3m,roc_6m,rs_percentile,rs_h,rs_up,rank,rank_diff,rank_status
WDC,Information Technology,712.13,10.823221810177559,124.75,308.21,100,"[99, 99, 99, 100, 100]",False,1,0,stable
SNDK,Information Technology,1958.8,40.77566513058186,153.7,835.84,100,"[100, 100, 100, 100, 100]",False,2,0,stable
STX,Information Technology,1066.07,6.983351920935952,145.73,271.61,99,"[98, 98, 99, 99, 99]",False,3,3,up
LITE,Information Technology,869.98,8.594088545749104,12.67,175.18,99,"[100, 100, 100, 99, 99]",False,4,0,stable
MU,Information Technology,1043.19,7.343230224512375,134.91,349.03,99,"[99, 99, 99, 99, 99]",False,5,0,stable
TER,Information Technology,408.56,3.507864416342304,35.16,112.64,98,"[97, 97, 97, 97, 98]",False,6,5,up
CIEN,Information Technology,436.72,4.6753730661579525,5.85,108.12,98,"[98, 98, 98, 99, 98]",False,7,-4,down
INTC,Information Technology,121.1,4.394540246384468,162.23,224.58,98,"[98, 98, 98, 98, 98]",False,8,1,up
COHR,Information Technology,378.85,3.3632012049999402,37.48,116.24,97,"[97, 97, 98, 98, 97]",False,9,-2,down
SATS,Communication Services,111.7,3.250715876248132,2.37,7.78,97,"[99, 99, 98, 98, 97]",False,10,-2,down
LRCX,Information Technology,374.18,2.8384040746634,60.03,129.63,97,"[96, 96, 97, 97, 97]",False,11,-1,down
DELL,Information Technology,419.32,2.411521889129129,168.32,215.86,96,"[96, 96, 96, 96, 96]",False,12,4,up
FIX,Industrials,1931.77,2.6391708165735577,33.78,99.64,96,"[96, 96, 96, 96, 96]",False,13,2,up
GLW,Information Technology,175.4,2.2712913796368013,32.0,103.96,96,"[96, 96, 96, 96, 96]",False,14,0,stable
AMD,Information Technology,512.48,2.8013200660886377,149.66,145.01,96,"[97, 97, 97, 97, 96]",False,15,-3,down
ALB,Materials,166.56,1.601365594443104,2.28,27.72,95,"[94, 94, 95, 95, 95]",False,16,2,up
HPE,Information Technology,48.2,1.5267395969703923,119.95,101.42,95,"[95, 95, 94, 95, 95]",False,17,2,up
