symbol,price,has_trendline_break,trendline_value,trendline_slope,volume_ratio,rsi,high_confidence,has_52w_break,past_52w_high,rank,category_profile
AIIL,530.15,True,489.88,-0.9122,50.88,64.62,True,False,0.0,1,TL_ONLY
MMTC,68.06,True,67.66,-0.0118,18.53,57.25,True,False,0.0,2,TL_ONLY
TTML,46.44,True,43.29,-0.0886,14.54,63.14,True,False,0.0,3,TL_ONLY
INDIASHLTR,793.4,True,776.96,-0.7603,12.65,55.62,True,False,0.0,4,TL_ONLY
AAVAS,1405.7,True,1342.53,-2.1023,5.96,61.22,True,False,0.0,5,TL_ONLY
STARCEMENT,218.57,True,218.46,-0.2665,5.35,55.56,True,False,0.0,6,TL_ONLY
DBREALTY,111.88,True,109.69,-0.2783,3.29,47.0,False,False,0.0,7,TL_ONLY
JBMA,683.8,True,654.17,-0.2803,3.08,58.21,False,False,0.0,8,TL_ONLY
PNCINFRA,201.62,True,201.5,-0.5143,2.37,41.02,False,False,0.0,9,TL_ONLY
HINDPETRO,388.9,True,385.39,-0.685,2.15,53.11,False,False,0.0,10,TL_ONLY
SWSOLAR,208.23,True,198.5,-0.288,2.03,58.19,False,False,0.0,11,TL_ONLY
HERITGFOOD,320.0,True,319.59,-1.1222,1.72,43.28,False,False,0.0,12,TL_ONLY
AFFLE,1446.3,True,1436.45,-3.2314,1.67,46.31,False,False,0.0,13,TL_ONLY
INOXWIND,88.03,True,83.57,-0.4154,1.6,46.39,False,False,0.0,14,TL_ONLY
ASHOKA,123.06,True,115.68,-0.5134,1.54,48.55,False,False,0.0,15,TL_ONLY
SHAKTIPUMP,537.15,True,521.13,-1.968,1.5,54.79,False,False,0.0,16,TL_ONLY
UCOBANK,25.99,True,25.67,-0.0424,1.43,55.64,False,False,0.0,17,TL_ONLY
BRIGADE,678.6,True,678.38,-1.9606,1.41,50.61,False,False,0.0,18,TL_ONLY
MGL,1094.9,True,1085.59,-1.1071,1.37,52.76,False,False,0.0,19,TL_ONLY
SHAREINDIA,136.38,True,126.74,-0.4248,1.28,48.88,False,False,0.0,20,TL_ONLY
SWIGGY,249.9,True,242.95,-1.2695,1.27,45.76,False,False,0.0,21,TL_ONLY
INDHOTEL,679.45,True,657.49,-0.6087,1.26,59.37,False,False,0.0,22,TL_ONLY
KNRCON,125.17,True,118.92,-0.4263,1.26,46.61,False,False,0.0,23,TL_ONLY
GABRIEL,1040.6,True,1012.71,-1.537,1.22,48.27,False,False,0.0,24,TL_ONLY
DLF,587.05,True,573.14,-1.2509,1.21,52.79,False,False,0.0,25,TL_ONLY
EPIGRAL,1115.3,True,1075.81,-2.8285,1.2,43.02,False,False,0.0,26,TL_ONLY
JIOFIN,235.89,True,232.12,-0.5601,1.16,49.08,False,False,0.0,27,TL_ONLY
ASKAUTOLTD,429.35,True,422.68,-0.6448,1.1,43.46,False,False,0.0,28,TL_ONLY
ITI,299.25,True,295.54,-0.3135,1.1,54.19,False,False,0.0,29,TL_ONLY
CDSL,1227.9,True,1214.21,-2.7609,1.09,50.95,False,False,0.0,30,TL_ONLY
HDFCBANK,772.45,True,763.48,-1.9044,0.98,55.31,False,False,0.0,31,TL_ONLY
VAIBHAVGBL,230.46,True,225.48,-0.1867,0.98,55.05,False,False,0.0,32,TL_ONLY
KIRLOSBROS,1729.4,True,1722.7,-0.6536,0.95,58.59,False,False,0.0,33,TL_ONLY
NETWORK18,31.51,True,30.32,-0.1256,0.95,48.99,False,False,0.0,34,TL_ONLY
INDGN,510.35,True,509.71,-0.2002,0.87,47.92,False,False,0.0,35,TL_ONLY
ETERNAL,243.8,True,242.43,-0.6275,0.86,47.2,False,False,0.0,36,TL_ONLY
LODHA,899.3,True,886.31,-2.0144,0.86,52.45,False,False,0.0,37,TL_ONLY
INDIGOPNTS,995.2,True,962.99,-1.5252,0.85,58.53,False,False,0.0,38,TL_ONLY
FIEMIND,2308.7,True,2294.0,-0.808,0.84,56.22,False,False,0.0,39,TL_ONLY
FACT,902.35,True,893.66,-0.0348,0.83,57.18,False,False,0.0,40,TL_ONLY
GMRAIRPORT,103.65,True,101.3,-0.0,0.82,61.22,False,False,0.0,41,TL_ONLY
ITCHOTELS,154.05,True,149.53,-0.4697,0.82,49.8,False,False,0.0,42,TL_ONLY
CLEAN,769.6,True,747.24,-1.5569,0.77,48.5,False,False,0.0,43,TL_ONLY
TIINDIA,3141.8,True,2984.54,-0.2877,0.74,57.21,False,False,0.0,44,TL_ONLY
VSTIND,259.75,True,259.06,-0.0115,0.7,57.26,False,False,0.0,45,TL_ONLY
PCBL,290.25,True,280.95,-0.5027,0.64,52.41,False,False,0.0,46,TL_ONLY
ANANTRAJ,534.75,True,518.88,-0.8394,0.63,53.02,False,False,0.0,47,TL_ONLY
