symbol,price,pullback_pct,ema_200,volar,relative_strength,performance,rs_percentile,rank,symbol_clean,rank_diff,rank_status
NATIONALUM.NS,435.65,0.71,311.74,84.09,48.04,199.61,100,1,NATIONALUM,2,up
ATHERENERG.NS,905.25,0.29,661.4,67.05,47.97,199.45,100,2,ATHERENERG,0,stable
GVT&D.NS,4240.0,0.28,3236.51,73.3,45.85,190.64,99,3,GVT&D,-2,down
HINDCOPPER.NS,556.15,26.71,446.33,47.48,40.17,167.02,99,4,HINDCOPPER,0,stable
NETWEB.NS,4018.3,7.84,3158.39,46.45,39.62,164.75,98,5,NETWEB,0,stable
FORCEMOT.NS,21793.0,15.45,19600.9,43.67,36.87,153.3,98,6,FORCEMOT,1,up
MCX.NS,2789.7,2.53,2182.3,61.03,35.78,148.79,98,7,MCX,-1,down
APARINDS.NS,11965.0,0.1,9170.67,47.64,33.98,140.93,97,8,APARINDS,2,up
POWERINDIA.NS,30330.0,0.0,21622.22,49.6,33.42,138.98,97,9,POWERINDIA,0,stable
GMDCLTD.NS,690.85,7.49,547.8,35.61,29.69,123.44,96,10,GMDCLTD,-2,down
KIRLOSENG.NS,1647.0,0.98,1204.37,43.93,28.71,118.69,96,11,KIRLOSENG,0,stable
ANANDRATHI.NS,3632.9,1.54,2988.18,62.32,26.77,110.95,96,12,ANANDRATHI,1,up
VEDL.NS,758.35,3.7,596.28,55.07,24.95,103.68,95,13,VEDL,-1,down
SYRMA.NS,1000.2,0.0,777.2,37.21,24.67,102.56,95,14,SYRMA,0,stable
ADANIPOWER.NS,214.57,0.0,146.59,35.89,23.2,96.65,94,15,ADANIPOWER,1,up
DATAPATTNS.NS,3692.0,0.0,2897.86,30.64,23.05,95.86,94,16,DATAPATTNS,-1,down
LTF.NS,293.71,8.3,268.82,41.99,21.2,88.16,94,17,LTF,0,stable
NAM-INDIA.NS,1051.5,0.36,868.63,34.44,20.47,85.15,93,18,NAM-INDIA,0,stable
SCHNEIDER.NS,1111.7,0.0,827.19,30.62,19.91,82.71,93,19,SCHNEIDER,14,up
CUMMINSIND.NS,5211.5,0.0,4317.47,49.52,19.84,82.51,92,20,CUMMINSIND,8,up
BHARATFORG.NS,1906.1,0.93,1520.28,43.68,19.76,81.7,92,21,BHARATFORG,6,up
CCL.NS,1119.8,2.29,973.28,31.69,19.44,80.86,92,22,CCL,-2,down
SCI.NS,299.0,2.25,231.73,27.0,19.33,80.27,91,23,SCI,-4,down
AUBANK.NS,1045.85,0.0,906.71,41.19,19.2,79.81,91,24,AUBANK,0,stable
ABCAPITAL.NS,351.85,3.35,321.56,37.92,19.16,79.68,90,25,ABCAPITAL,-2,down
KEI.NS,4917.5,5.54,4252.66,40.6,18.95,78.71,90,26,KEI,5,up
BSE.NS,3506.0,0.72,2752.29,28.77,18.75,77.91,90,27,BSE,2,up
MUTHOOTFIN.NS,3616.2,10.87,3344.24,33.8,18.62,77.41,89,28,MUTHOOTFIN,-3,down
MAHABANK.NS,80.52,0.0,62.26,35.93,18.59,77.3,89,29,MAHABANK,-7,down
LAURUSLABS.NS,1101.75,2.99,979.07,42.29,18.31,76.13,88,30,LAURUSLABS,-4,down
DELHIVERY.NS,461.85,4.74,426.94,37.65,18.18,75.57,88,31,DELHIVERY,-10,down
RBLBANK.NS,319.65,3.88,297.01,35.21,18.17,75.54,88,32,RBLBANK,-2,down
ASHOKLEY.NS,180.16,14.99,165.85,34.85,17.37,72.19,87,33,ASHOKLEY,3,up
HINDALCO.NS,1040.8,0.0,864.53,43.64,17.29,71.9,87,34,HINDALCO,6,up
CHENNPETRO.NS,1058.0,2.75,873.45,23.34,16.94,70.25,86,35,CHENNPETRO,3,up
CRAFTSMAN.NS,7730.5,4.79,7072.19,30.12,16.5,68.61,86,36,CRAFTSMAN,5,up
GESHIP.NS,1450.0,2.46,1191.17,34.58,16.33,67.53,86,37,GESHIP,-2,down
INDIANB.NS,929.3,6.28,833.46,34.56,16.29,67.75,85,38,INDIANB,-6,down
ABSLAMC.NS,1023.65,4.18,852.15,30.18,15.85,65.92,85,39,ABSLAMC,-5,down
KARURVYSYA.NS,298.65,11.34,264.57,31.24,15.8,65.69,84,40,KARURVYSYA,-1,down
GLENMARK.NS,2227.3,2.0,2011.35,34.2,15.53,64.56,84,41,GLENMARK,1,up
GRSE.NS,2790.8,19.53,2493.3,18.28,15.21,63.25,84,42,GRSE,3,up
GRAPHITE.NS,743.5,0.0,607.7,22.06,14.41,59.85,83,43,GRAPHITE,3,up
CANBK.NS,145.88,8.21,137.14,32.87,14.32,59.56,83,44,CANBK,0,stable
UNIONBANK.NS,196.2,3.0,164.46,28.75,14.28,59.4,82,45,UNIONBANK,-2,down
HBLENGINE.NS,817.7,25.39,763.84,19.61,14.27,59.34,82,46,HBLENGINE,14,up
TATASTEEL.NS,212.89,1.22,184.56,34.41,14.2,59.05,82,47,TATASTEEL,0,stable
EMCURE.NS,1598.8,4.38,1450.89,26.17,14.18,58.89,81,48,EMCURE,-11,down
RRKABEL.NS,1470.0,5.93,1384.15,25.91,13.98,57.96,81,49,RRKABEL,1,up
SHRIRAMFIN.NS,1048.25,5.1,888.48,25.04,13.61,56.7,80,50,SHRIRAMFIN,-1,down
CUB.NS,267.56,11.33,252.75,24.1,13.53,56.27,80,51,CUB,-3,down
GPIL.NS,300.0,1.82,252.8,23.6,13.38,55.65,80,52,GPIL,5,up
MOTHERSON.NS,132.02,2.13,113.72,25.92,13.27,55.14,79,53,MOTHERSON,11,up
INOXINDIA.NS,1580.3,0.0,1188.55,29.4,13.24,55.02,79,54,INOXINDIA,12,up
SAIL.NS,175.97,0.0,145.75,26.36,13.13,54.53,78,55,SAIL,-3,down
WAAREEENER.NS,3442.0,7.91,3048.69,18.32,13.1,54.46,78,56,WAAREEENER,-5,down
FEDERALBNK.NS,298.0,0.62,255.45,33.29,12.94,53.81,78,57,FEDERALBNK,-4,down
BEL.NS,448.35,4.29,417.06,32.02,12.92,53.71,77,58,BEL,-4,down
POLYCAB.NS,8025.0,6.8,7395.45,28.98,12.58,52.28,77,59,POLYCAB,0,stable
KAJARIACER.NS,1189.65,8.23,1043.47,26.12,12.51,51.87,76,60,KAJARIACER,2,up
HONASA.NS,347.95,1.04,292.18,22.08,12.32,51.22,76,61,HONASA,-6,down
JINDALSTEL.NS,1289.0,0.0,1097.08,28.02,12.32,51.19,76,62,JINDALSTEL,-4,down
ADANIENSOL.NS,1348.8,0.0,976.72,21.41,12.2,50.68,75,63,ADANIENSOL,12,up
INDIACEM.NS,424.45,11.3,399.15,22.83,12.08,50.25,75,64,INDIACEM,3,up
NAVINFLUOR.NS,6322.0,4.93,5777.77,23.07,11.64,48.4,74,65,NAVINFLUOR,-9,down
ACMESOLAR.NS,303.1,4.84,250.87,19.19,11.62,48.33,74,66,ACMESOLAR,5,up
BHEL.NS,333.99,0.0,263.02,22.06,11.58,48.09,73,67,BHEL,-6,down
GRANULES.NS,677.25,0.0,571.33,24.3,11.24,46.71,73,68,GRANULES,2,up
NAVA.NS,695.5,2.5,579.9,18.63,11.16,46.38,73,69,NAVA,4,up
SBIN.NS,1102.25,10.23,1001.21,34.4,10.99,45.69,72,70,SBIN,-7,down
TIMKEN.NS,3636.2,0.0,3171.33,22.85,10.44,43.17,72,71,TIMKEN,15,up
WELCORP.NS,1131.8,0.0,850.5,18.95,10.28,42.74,71,72,WELCORP,6,up
ANGELONE.NS,327.02,0.0,252.06,15.71,10.24,42.48,71,73,ANGELONE,-1,down
TVSMOTOR.NS,3704.9,5.98,3523.01,26.13,10.15,42.22,71,74,TVSMOTOR,-6,down
ABB.NS,7580.0,0.0,5694.5,25.26,10.11,42.04,70,75,ABB,10,up
JSL.NS,787.0,8.97,756.22,19.7,9.97,41.4,70,76,JSL,4,up
IFCI.NS,61.61,14.14,55.69,13.14,9.93,41.24,69,77,IFCI,2,up
FORTIS.NS,917.35,16.45,886.51,23.81,9.93,41.31,69,78,FORTIS,15,up
BOSCHLTD.NS,38060.0,8.28,35630.13,23.0,9.85,40.94,69,79,BOSCHLTD,-3,down
NMDC.NS,88.58,1.34,76.99,23.37,9.79,40.78,68,80,NMDC,1,up
HINDZINC.NS,602.45,17.15,544.06,17.12,9.7,40.28,68,81,HINDZINC,8,up
USHAMART.NS,445.95,7.4,416.55,18.45,9.67,40.21,67,82,USHAMART,-8,down
FACT.NS,935.15,12.0,853.05,13.68,9.62,39.95,67,83,FACT,13,up
J&KBANK.NS,133.74,0.0,109.36,16.77,9.37,38.96,67,84,J&KBANK,-15,down
CGPOWER.NS,827.15,0.0,689.8,19.34,9.26,38.45,66,85,CGPOWER,9,up
MRPL.NS,186.26,9.92,162.54,13.29,9.25,38.24,66,86,MRPL,1,up
HEG.NS,661.3,0.0,541.05,14.59,9.2,38.33,65,87,HEG,-5,down
ENGINERSIN.NS,247.35,0.0,200.4,14.9,9.07,37.69,65,88,ENGINERSIN,-23,down
ASTERDM.NS,683.9,4.99,629.02,19.32,9.03,37.53,65,89,ASTERDM,-6,down
SAILIFE.NS,1005.75,5.93,907.18,16.94,9.01,37.44,64,90,SAILIFE,37,up
KPIL.NS,1269.7,3.41,1164.94,18.48,8.99,37.31,64,91,KPIL,12,up
TITAN.NS,4465.5,1.33,3975.52,27.46,8.88,36.88,63,92,TITAN,0,stable
NYKAA.NS,259.92,7.4,248.06,20.71,8.88,36.92,63,93,NYKAA,-16,down
BANKINDIA.NS,152.55,13.91,143.95,18.57,8.87,36.89,63,94,BANKINDIA,-10,down
SIEMENS.NS,3845.2,0.0,3183.02,20.1,8.85,36.77,62,95,SIEMENS,14,up
HDFCAMC.NS,2770.8,5.95,2617.95,19.01,8.82,36.7,62,96,HDFCAMC,-5,down
KSB.NS,996.8,0.0,787.18,20.06,8.69,36.1,61,97,KSB,-2,down
APLAPOLLO.NS,2123.1,6.91,1917.0,21.65,8.63,35.87,61,98,APLAPOLLO,-1,down
PAYTM.NS,1166.5,14.72,1156.11,15.05,8.38,34.86,61,99,PAYTM,-11,down
RADICO.NS,3282.0,2.78,2896.31,16.66,8.37,34.81,60,100,RADICO,-1,down
SCHAEFFLER.NS,4240.0,2.69,3943.17,17.8,8.13,33.82,60,101,SCHAEFFLER,1,up
SONACOMS.NS,591.05,0.47,495.9,16.26,7.98,33.16,59,102,SONACOMS,18,up
CANFINHOME.NS,906.7,4.58,850.3,19.26,7.7,31.99,59,103,CANFINHOME,-5,down
MANAPPURAM.NS,296.4,7.19,278.52,16.21,7.62,31.68,58,104,MANAPPURAM,19,up
STARHEALTH.NS,507.85,2.79,461.72,19.19,7.62,31.52,58,105,STARHEALTH,-4,down
EICHERMOT.NS,7242.5,11.57,6966.59,19.44,7.37,30.65,58,106,EICHERMOT,-1,down
LLOYDSME.NS,1675.9,0.0,1309.04,12.91,7.36,30.61,57,107,LLOYDSME,-3,down
NATCOPHARM.NS,1070.25,4.76,918.98,13.41,7.27,30.23,57,108,NATCOPHARM,0,stable
JPPOWER.NS,20.01,26.51,16.84,8.94,7.2,29.85,57,109,JPPOWER,0,new
ADANIPORTS.NS,1592.8,0.08,1447.03,17.05,7.18,29.82,56,110,ADANIPORTS,-4,down
MOTILALOFS.NS,822.25,24.05,816.19,11.07,7.13,29.65,56,111,MOTILALOFS,-1,down
NUVAMA.NS,1384.2,12.38,1323.16,12.85,7.12,29.62,55,112,NUVAMA,-12,down
TORNTPHARM.NS,4097.2,7.85,3899.91,22.16,6.8,28.25,55,113,TORNTPHARM,0,stable
SAMMAANCAP.NS,147.45,22.37,146.47,9.96,6.63,27.57,55,114,SAMMAANCAP,-2,down
AIAENG.NS,4030.5,1.9,3648.05,15.76,6.58,27.18,54,115,AIAENG,3,up
ELGIEQUIP.NS,558.0,5.99,493.23,12.22,6.52,27.01,54,116,ELGIEQUIP,18,up
CEATLTD.NS,3804.8,11.57,3662.65,11.42,6.5,27.02,53,117,CEATLTD,-10,down
OIL.NS,466.7,7.95,441.74,14.68,6.45,26.74,53,118,OIL,-7,down
NLCINDIA.NS,299.45,1.61,255.39,13.03,6.3,26.16,53,119,NLCINDIA,-4,down
GLAND.NS,1798.9,13.63,1772.48,16.73,6.22,25.86,52,120,GLAND,2,up
LT.NS,4023.9,8.92,3868.1,16.79,6.21,25.83,52,121,LT,0,stable
JSWSTEEL.NS,1265.6,1.17,1158.46,16.13,6.19,25.72,51,122,JSWSTEEL,-5,down
ADANIGREEN.NS,1187.35,0.0,976.39,9.62,6.15,25.57,51,123,ADANIGREEN,9,up
