symbol,price,pullback_pct,ema_200,volar,relative_strength,performance,rs_percentile,rank,symbol_clean,rank_diff,rank_status
FORCEMOT.NS,21570.0,16.32,18896.1,58.11,34.66,201.64,100,1,FORCEMOT,0,stable
MCX.NS,2603.1,3.09,2049.38,71.01,29.86,173.71,99,2,MCX,0,stable
GVT&D.NS,3807.7,1.58,3033.67,62.36,28.81,167.58,98,3,GVT&D,0,stable
ATHERENERG.NS,750.2,2.04,620.54,50.26,25.47,148.16,98,4,ATHERENERG,0,stable
GMDCLTD.NS,559.25,11.27,524.09,38.33,21.75,126.53,97,5,GMDCLTD,0,stable
BSE.NS,2995.6,5.71,2637.26,41.75,21.41,124.57,96,6,BSE,0,stable
KIRLOSENG.NS,1435.6,4.96,1126.91,45.71,21.19,123.28,95,7,KIRLOSENG,0,stable
NETWEB.NS,3295.8,24.41,3061.84,34.05,20.89,121.52,95,8,NETWEB,0,stable
NATIONALUM.NS,387.65,8.48,285.65,44.74,18.99,110.48,94,9,NATIONALUM,0,stable
DATAPATTNS.NS,3302.0,5.47,2771.25,34.27,18.7,108.78,93,10,DATAPATTNS,0,stable
POWERINDIA.NS,24975.0,3.42,20124.98,36.59,18.09,105.27,92,11,POWERINDIA,0,stable
ABCAPITAL.NS,328.45,9.78,318.25,51.08,17.49,101.75,92,12,ABCAPITAL,0,stable
LTF.NS,268.8,16.08,266.77,48.38,16.28,94.73,91,13,LTF,0,stable
RBLBANK.NS,301.35,9.38,291.25,43.08,16.14,93.93,90,14,RBLBANK,0,stable
SYRMA.NS,784.45,13.14,750.21,30.9,15.16,88.19,89,15,SYRMA,0,stable
ASHOKLEY.NS,178.62,15.71,164.12,47.97,14.89,86.64,89,16,ASHOKLEY,0,stable
ANANDRATHI.NS,3063.9,5.02,2872.28,48.12,14.87,86.51,88,17,ANANDRATHI,0,stable
CCL.NS,1046.0,1.84,935.93,33.81,14.84,86.32,87,18,CCL,0,stable
CHENNPETRO.NS,1015.15,7.42,843.0,28.59,14.61,84.99,86,19,CHENNPETRO,0,stable
INDIANB.NS,888.9,10.35,807.58,45.13,14.54,84.6,86,20,INDIANB,0,stable
AUBANK.NS,930.15,9.66,891.5,44.88,14.37,83.62,85,21,AUBANK,0,stable
KARURVYSYA.NS,284.7,15.48,258.92,39.44,13.56,78.9,84,22,KARURVYSYA,0,stable
DELHIVERY.NS,422.55,12.85,418.79,36.13,13.04,75.85,83,23,DELHIVERY,0,stable
APARINDS.NS,9609.0,14.06,8720.83,24.94,12.84,74.71,83,24,APARINDS,0,stable
NAM-INDIA.NS,884.8,10.18,852.46,30.56,12.5,72.7,82,25,NAM-INDIA,0,stable
CANBK.NS,137.51,13.48,136.35,41.89,12.5,72.73,82,26,CANBK,0,stable
MRPL.NS,192.05,7.12,160.36,23.4,12.26,71.34,80,27,MRPL,0,stable
CUMMINSIND.NS,4717.6,4.94,4156.3,41.19,11.98,69.71,80,28,CUMMINSIND,0,stable
SCI.NS,240.25,12.04,225.35,23.02,11.82,68.75,79,29,SCI,0,stable
LAURUSLABS.NS,983.4,12.86,950.73,36.49,11.8,68.66,78,30,LAURUSLABS,0,stable
BANKINDIA.NS,152.45,13.97,142.63,34.45,11.71,68.14,77,31,BANKINDIA,0,stable
BHARATFORG.NS,1804.4,6.21,1450.0,32.54,11.43,66.47,77,32,BHARATFORG,0,stable
EMCURE.NS,1531.5,2.49,1407.05,27.93,11.31,65.81,76,33,EMCURE,0,stable
GESHIP.NS,1441.0,3.06,1128.46,34.22,11.22,65.29,75,34,GESHIP,0,stable
ABSLAMC.NS,969.45,4.01,817.04,30.48,11.02,64.14,74,35,ABSLAMC,0,stable
RRKABEL.NS,1438.2,7.96,1374.45,28.43,10.75,62.54,74,36,RRKABEL,0,stable
SHRIRAMFIN.NS,1021.6,7.51,862.55,29.17,10.67,62.09,73,37,SHRIRAMFIN,0,stable
UNIONBANK.NS,177.91,12.04,159.32,30.11,10.64,61.92,72,38,UNIONBANK,0,stable
BEL.NS,442.6,5.52,410.37,36.15,10.47,60.93,71,39,BEL,0,stable
VEDL.NS,679.0,11.4,572.13,30.17,10.44,60.72,71,40,VEDL,0,stable
TVSMOTOR.NS,3572.8,9.65,3493.43,37.78,10.11,58.81,70,41,TVSMOTOR,0,stable
MUTHOOTFIN.NS,3433.0,16.1,3340.93,25.34,9.85,57.31,69,42,MUTHOOTFIN,0,stable
MFSL.NS,1668.7,10.76,1642.29,39.56,9.82,57.16,68,43,MFSL,0,stable
HEROMOTOCO.NS,5426.0,12.89,5311.34,33.55,9.55,55.54,68,44,HEROMOTOCO,0,stable
NAVINFLUOR.NS,6337.5,4.69,5648.92,26.36,9.4,54.66,67,45,NAVINFLUOR,0,stable
GPIL.NS,260.1,8.33,243.83,22.06,9.33,54.27,66,46,GPIL,0,stable
GLENMARK.NS,2186.3,3.8,1960.02,28.37,9.3,54.09,65,47,GLENMARK,0,stable
ASTERDM.NS,662.0,8.43,619.25,27.73,9.21,53.59,65,48,ASTERDM,0,stable
FEDERALBNK.NS,271.5,9.45,248.25,34.06,9.15,53.26,64,49,FEDERALBNK,0,stable
SBIN.NS,1069.8,12.87,982.53,39.89,8.75,50.93,63,50,SBIN,0,stable
WAAREEENER.NS,3184.8,14.79,2983.48,16.7,8.68,50.48,62,51,WAAREEENER,0,stable
ADANIPOWER.NS,154.07,9.78,139.16,18.91,8.66,50.36,62,52,ADANIPOWER,0,stable
SCHNEIDER.NS,898.6,12.96,789.66,17.59,8.36,48.66,61,53,SCHNEIDER,0,stable
POLYCAB.NS,7374.5,14.35,7334.91,26.23,8.26,48.06,60,54,POLYCAB,0,stable
GRAPHITE.NS,623.8,14.57,594.85,17.49,8.04,46.8,59,55,GRAPHITE,0,stable
SAIL.NS,154.42,6.81,141.08,22.32,8.01,46.59,59,56,SAIL,0,stable
VTL.NS,548.7,0.93,461.69,17.73,7.9,45.94,58,57,VTL,0,stable
SAILIFE.NS,1013.85,5.18,884.88,17.91,7.75,45.07,57,58,SAILIFE,0,stable
BANKBARODA.NS,283.15,12.73,278.71,26.84,7.69,44.72,56,59,BANKBARODA,0,stable
