symbol,price,pullback_pct,ema_200,volar,relative_strength,performance,rs_percentile,rs_h,vol_h,perf_h,rs_up,rank,symbol_clean,rank_diff,rank_status
CROMPTON.NS,275.25,22.38,269.45,-11.89,6.08,-20.55,100,"[98, 100]","[-11.02, -11.89]","[-19.06, -20.55]",True,1,CROMPTON,4,up
COFORGE.NS,1463.3,25.84,1459.93,-8.53,5.9,-19.94,100,"[98, 98, 100]","[-7.41, -7.55, -8.53]","[-17.35, -17.67, -19.94]",False,2,COFORGE,6,up
PCBL.NS,309.5,27.57,302.46,-7.3,5.84,-19.75,99,"[100, 99, 100, 99]","[-9.21, -8.32, -8.15, -7.3]","[-24.97, -22.53, -22.08, -19.75]",False,3,PCBL,-1,down
AAVAS.NS,1471.9,29.66,1407.3,-9.92,5.7,-19.27,99,[99],[-9.92],[-19.27],False,4,AAVAS,0,new
ERIS.NS,1448.4,19.84,1437.39,-9.54,5.48,-18.54,98,[98],[-9.54],[-18.54],False,5,ERIS,0,new
CDSL.NS,1370.3,23.46,1347.03,-9.0,5.35,-18.1,98,[98],[-9.0],[-18.1],False,6,CDSL,0,new
ACE.NS,975.65,20.14,924.58,-8.38,5.24,-17.72,98,"[100, 100, 100, 99, 98]","[-12.07, -12.29, -11.46, -9.29, -8.38]","[-25.48, -25.94, -24.12, -19.63, -17.72]",False,7,ACE,-3,down
ELECON.NS,539.05,18.06,486.34,-5.98,4.98,-16.83,97,"[100, 98, 98, 97, 97]","[-7.84, -6.19, -5.84, -5.8, -5.98]","[-21.93, -17.38, -16.39, -16.27, -16.83]",False,8,ELECON,1,up
ZEEL.NS,113.36,22.67,94.33,-5.72,4.63,-15.65,97,"[93, 97, 97, 98, 97]","[-4.51, -6.01, -5.71, -6.67, -5.72]","[-12.28, -16.43, -15.62, -18.23, -15.65]",False,9,ZEEL,-3,down
GODREJIND.NS,1112.4,17.51,1029.94,-6.29,4.63,-15.66,97,"[99, 96, 99, 98, 97]","[-8.73, -6.57, -7.26, -7.17, -6.29]","[-21.53, -16.21, -17.9, -17.67, -15.66]",False,10,GODREJIND,-3,down
FACT.NS,884.85,14.72,868.02,-5.34,4.18,-14.15,96,"[95, 94, 79, 81, 96]","[-5.96, -5.62, -1.2, -1.79, -5.34]","[-15.08, -14.22, -3.13, -4.67, -14.15]",False,11,FACT,40,up
APTUS.NS,269.75,23.72,264.52,-6.83,4.08,-13.79,96,"[97, 94, 96, 95, 96]","[-8.1, -7.19, -7.2, -7.0, -6.83]","[-16.38, -14.51, -14.54, -14.13, -13.79]",False,12,APTUS,3,up
MGL.NS,1209.0,19.73,1128.25,-7.22,4.03,-13.62,95,"[98, 93, 86, 95]","[-9.11, -5.97, -4.14, -7.22]","[-17.29, -11.39, -7.91, -13.62]",False,13,MGL,24,up
TRIDENT.NS,25.93,18.06,25.56,-6.9,3.96,-13.39,95,[95],[-6.9],[-13.39],False,14,TRIDENT,0,new
SAREGAMA.NS,465.9,13.25,387.81,-5.45,3.92,-13.25,95,"[98, 95, 94, 96, 95]","[-7.26, -6.04, -5.56, -6.04, -5.45]","[-17.64, -14.67, -13.49, -14.68, -13.25]",False,15,SAREGAMA,-4,down
IRB.NS,21.44,14.03,21.25,-7.5,3.67,-12.4,94,"[96, 95, 94]","[-9.13, -8.57, -7.5]","[-15.12, -14.18, -12.4]",False,16,IRB,-2,down
BALRAMCHIN.NS,531.6,14.0,497.83,-5.87,3.47,-11.74,94,"[91, 89, 89, 90, 94]","[-5.97, -5.33, -4.18, -4.9, -5.87]","[-11.77, -10.53, -8.26, -9.71, -11.74]",False,17,BALRAMCHIN,11,up
HAL.NS,4408.1,11.64,4322.39,-6.83,3.44,-11.64,94,"[91, 94]","[-5.99, -6.83]","[-10.21, -11.64]",True,18,HAL,6,up
PRESTIGE.NS,1497.3,17.0,1460.11,-5.81,3.42,-11.55,93,"[90, 87, 87, 93]","[-5.82, -3.59, -4.03, -5.81]","[-11.54, -7.15, -8.02, -11.55]",False,19,PRESTIGE,17,up
PAGEIND.NS,39975.0,17.99,37026.68,-7.67,3.41,-11.53,93,"[97, 96, 95, 93, 93]","[-10.73, -9.93, -9.54, -9.11, -7.67]","[-16.06, -14.89, -14.3, -13.66, -11.53]",False,20,PAGEIND,-2,down
OBEROIRLTY.NS,1683.5,14.94,1624.48,-6.99,3.4,-11.48,92,"[95, 92, 90, 92, 92]","[-9.18, -7.17, -5.69, -6.39, -6.99]","[-14.96, -11.75, -9.36, -10.51, -11.48]",False,21,OBEROIRLTY,0,stable
GRSE.NS,2798.3,19.32,2588.78,-3.67,3.32,-11.21,92,"[98, 93, 91, 86, 92]","[-5.72, -4.33, -3.27, -2.46, -3.67]","[-17.56, -13.25, -9.95, -7.53, -11.21]",False,22,GRSE,16,up
RCF.NS,136.65,13.92,132.31,-5.08,3.29,-11.11,92,"[93, 92]","[-5.81, -5.08]","[-12.7, -11.11]",False,23,RCF,-4,down
CHAMBLFERT.NS,484.2,14.1,461.56,-6.09,3.27,-11.05,91,"[95, 94, 88, 90, 91]","[-8.3, -7.89, -4.5, -5.46, -6.09]","[-15.08, -14.34, -8.18, -9.91, -11.05]",False,24,CHAMBLFERT,3,up
MAXHEALTH.NS,1094.75,15.78,1048.34,-6.38,3.15,-10.66,91,[91],[-6.38],[-10.66],False,25,MAXHEALTH,0,new
UCOBANK.NS,27.58,16.5,27.19,-5.99,3.13,-10.59,91,"[88, 91]","[-4.78, -5.99]","[-8.43, -10.59]",True,26,UCOBANK,8,up
IKS.NS,1675.2,9.73,1579.24,-4.64,2.88,-9.73,90,"[70, 76, 83, 85, 90]","[0.77, -1.26, -2.29, -2.92, -4.64]","[1.66, -2.7, -4.91, -6.26, -9.73]",True,27,IKS,14,up
ATUL.NS,6482.0,15.49,6470.67,-5.98,2.8,-9.48,90,[90],[-5.98],[-9.48],False,28,ATUL,0,new
HOMEFIRST.NS,1153.9,21.62,1121.25,-3.72,2.77,-9.37,89,"[87, 88, 89]","[-2.96, -3.66, -3.72]","[-7.48, -9.22, -9.37]",True,29,HOMEFIRST,2,up
TEJASNET.NS,632.35,11.98,476.94,-2.53,2.67,-9.04,89,"[97, 99, 98, 95, 89]","[-4.5, -5.13, -4.79, -4.0, -2.53]","[-15.97, -18.21, -17.0, -14.24, -9.04]",False,30,TEJASNET,-17,down
INDGN.NS,532.4,9.69,508.94,-5.04,2.48,-8.38,89,"[92, 96, 95, 94, 89]","[-7.26, -9.07, -8.2, -8.37, -5.04]","[-12.21, -15.08, -13.61, -13.91, -8.38]",False,31,INDGN,-15,down
SUZLON.NS,59.2,12.58,51.99,-4.04,2.44,-8.25,88,"[99, 98, 94, 88, 88]","[-9.54, -8.77, -5.8, -4.13, -4.04]","[-19.34, -17.78, -11.81, -8.44, -8.25]",False,32,SUZLON,1,up
RKFORGE.NS,588.7,13.7,554.0,-3.71,2.34,-7.92,88,"[91, 90, 93, 90, 88]","[-5.62, -5.05, -5.13, -4.67, -3.71]","[-12.01, -10.76, -10.94, -9.96, -7.92]",False,33,RKFORGE,-7,down
CASTROLIND.NS,185.8,15.0,184.78,-7.86,2.31,-7.79,88,[88],[-7.86],[-7.79],False,34,CASTROLIND,0,new
CERA.NS,6448.0,8.57,5505.19,-4.3,2.28,-7.72,87,"[92, 88, 92, 93, 87]","[-6.83, -5.49, -5.95, -6.32, -4.3]","[-12.06, -9.71, -10.54, -11.19, -7.72]",False,35,CERA,-15,down
LICHSGFIN.NS,549.9,12.33,542.55,-4.32,2.03,-6.85,87,"[85, 87, 86, 85, 87]","[-4.95, -5.72, -4.38, -4.12, -4.32]","[-7.89, -9.13, -6.96, -6.54, -6.85]",False,36,LICHSGFIN,4,up
MAHSEAMLES.NS,630.65,16.11,598.47,-4.17,1.99,-6.71,86,"[89, 90, 92, 91, 86]","[-6.18, -6.94, -6.47, -6.37, -4.17]","[-9.96, -11.13, -10.35, -10.18, -6.71]",False,37,MAHSEAMLES,-12,down
NBCC.NS,111.45,10.19,100.37,-2.98,1.96,-6.63,86,"[96, 92, 89, 83, 86]","[-6.86, -5.9, -4.06, -2.64, -2.98]","[-15.18, -13.07, -8.98, -5.87, -6.63]",False,38,NBCC,7,up
KOTAKBANK.NS,399.25,10.35,398.87,-4.86,1.91,-6.47,86,"[81, 79, 81, 78, 86]","[-4.61, -3.99, -3.0, -2.94, -4.86]","[-6.15, -5.32, -4.01, -3.92, -6.47]",False,39,KOTAKBANK,18,up
RECLTD.NS,355.35,7.5,350.43,-3.72,1.82,-6.16,85,"[91, 87, 84, 85]","[-6.93, -4.36, -3.68, -3.72]","[-11.55, -7.23, -6.1, -6.16]",False,40,RECLTD,3,up
