symbol,symbol_clean,price,pullback_pct,ema_200,volar,relative_strength,performance,rs_percentile,rank,rs_h,vol_h,perf_h,rs_up,rs_bars,rank_status,rank_diff,rank_delta
MU,MU,861.0,29.04,609.68,179.52,5.3106,815.49,100,1,[100],[179.52],[815.49],False,[14.0],new,0,
STX,STX,800.99,26.73,596.91,205.61,4.9716,766.29,100,2,[100],[205.61],[766.29],False,[14.0],new,0,
PLTR,PLTR,175.23,15.42,142.04,118.4,3.1113,496.43,99,3,[99],[118.4],[496.43],False,[13.9],new,0,
GEV,GEV,990.85,15.66,875.24,137.75,2.8874,463.95,99,4,[99],[137.75],[463.95],False,[13.9],new,0,
DELL,DELL,457.88,2.01,262.99,101.13,2.4162,395.59,99,5,[99],[101.13],[395.59],False,[13.9],new,0,
TPR,TPR,164.78,0.0,134.09,136.62,2.1395,355.44,99,6,[99],[136.62],[355.44],False,[13.9],new,0,
WBD,WBD,26.87,10.37,24.9,93.87,1.7604,300.45,98,7,[98],[93.87],[300.45],False,[13.8],new,0,
LRCX,LRCX,306.4,29.29,255.08,80.2,1.6496,284.38,98,8,[98],[80.2],[284.38],False,[13.8],new,0,
CRWD,CRWD,225.16,0.0,144.34,92.59,1.5939,276.3,98,9,[98],[92.59],[276.3],False,[13.8],new,0,
AMD,AMD,469.56,19.17,352.72,61.41,1.3666,243.32,97,10,"[98, 98, 100, 100, 97]","[44.27, 40.03, 62.37, 61.41, 61.41]","[199.95, 180.37, 247.04, 243.32, 243.32]",False,"[13.8, 13.8, 14.0, 14.0, 13.6]",down,-9,-9.0
HPE,HPE,54.68,2.33,33.62,74.97,1.3035,234.17,97,11,[97],[74.97],[234.17],False,[13.6],new,0,
JBL,JBL,336.63,12.71,291.76,87.89,1.2828,231.17,97,12,[97],[87.89],[231.17],False,[13.6],new,0,
HWM,HWM,283.71,2.6,240.95,98.56,1.117,207.12,97,13,[97],[98.56],[207.12],False,[13.6],new,0,
UAL,UAL,123.76,9.07,107.04,61.21,1.1106,206.19,96,14,[96],[61.21],[206.19],False,[13.5],new,0,
TER,TER,365.1,24.54,304.41,48.88,1.0723,200.64,96,15,[96],[48.88],[200.64],False,[13.5],new,0,
AVGO,AVGO,422.4,12.15,362.93,56.59,0.996,189.56,96,16,[96],[56.59],[189.56],False,[13.5],new,0,
CSCO,CSCO,122.57,5.36,94.87,104.49,0.9751,186.53,95,17,[95],[104.49],[186.53],False,[13.4],new,0,
AMAT,AMAT,522.12,27.78,408.06,52.5,0.8954,174.96,95,18,"[98, 98, 97, 97, 95]","[52.56, 52.11, 53.44, 52.5, 52.5]","[198.28, 196.53, 177.99, 174.96, 174.96]",False,"[13.8, 13.8, 13.6, 13.6, 13.4]",down,-16,-16.0
KEYS,KEYS,335.41,10.16,284.13,68.57,0.8683,171.04,95,19,[95],[68.57],[171.04],False,[13.4],new,0,
APH,APH,167.7,4.89,140.19,67.29,0.8629,170.26,95,20,"[84, 84, 95, 95, 95]","[20.36, 20.38, 68.17, 67.29, 67.29]","[56.87, 56.92, 172.46, 170.26, 170.26]",False,"[12.1, 12.1, 13.4, 13.4, 13.4]",down,-17,-17.0
RL,RL,406.89,1.54,355.68,68.88,0.8092,162.46,94,21,[94],[68.88],[162.46],False,[13.3],new,0,
CAT,CAT,837.58,21.2,758.43,70.38,0.7611,155.48,94,22,[94],[70.38],[155.48],False,[13.3],new,0,
STT,STT,186.68,0.2,145.91,94.23,0.7581,155.04,94,23,[94],[94.23],[155.04],False,[13.3],new,0,
PWR,PWR,660.86,15.83,583.37,59.71,0.7555,154.68,94,24,[94],[59.71],[154.68],False,[13.3],new,0,
EXPE,EXPE,314.01,1.77,243.57,52.39,0.727,150.54,93,25,[93],[52.39],[150.54],False,[13.2],new,0,
NEM,NEM,117.26,10.75,98.76,53.87,0.7105,148.14,93,26,[93],[53.87],[148.14],False,[13.2],new,0,
C,C,135.22,6.7,119.28,74.28,0.6961,146.06,93,27,[93],[74.28],[146.06],False,[13.2],new,0,
CAH,CAH,237.18,1.06,205.6,84.79,0.6669,141.82,92,28,[92],[84.79],[141.82],False,[13.0],new,0,
NTRS,NTRS,187.86,1.71,155.34,81.69,0.6542,139.98,92,29,[92],[81.69],[139.98],False,[13.0],new,0,
MS,MS,215.33,5.27,186.04,71.73,0.6483,139.13,92,30,[92],[71.73],[139.13],False,[13.0],new,0,
STLD,STLD,268.6,4.79,207.57,59.25,0.641,138.06,92,31,[92],[59.25],[138.06],False,[13.0],new,0,
DAL,DAL,89.21,4.52,73.28,46.99,0.6105,133.64,91,32,[91],[46.99],[133.64],False,[12.9],new,0,
FTNT,FTNT,164.21,2.42,115.23,51.77,0.6088,133.39,91,33,[91],[51.77],[133.39],False,[12.9],new,0,
PANW,PANW,385.04,0.0,240.51,53.57,0.6032,132.58,91,34,[91],[53.57],[132.58],False,[12.9],new,0,
DDOG,DDOG,260.78,9.5,185.29,36.88,0.6027,132.51,90,35,[90],[36.88],[132.51],False,[12.8],new,0,
JCI,JCI,150.7,2.49,131.7,69.58,0.5978,131.79,90,36,[90],[69.58],[131.79],False,[12.8],new,0,
